kor_name,domain
매일경제,mk.co.kr
파이낸셜뉴스,fnnews.com
서울경제,sedaily.com
조선비즈,biz.chosun.com
헤럴드경제,biz.heraldcorp.com
머니투데이,mt.co.kr
조세일보,joseilbo.com
이데일리,edaily.co.kr
아시아경제,asiae.co.kr
비즈워치,bizwatch.co.kr
한국경제,hankyung.com
중앙일보,joongang.co.kr
동아일보,donga.com
KBS,kbs.co.kr
SBS,www.sbs.co.kr
조선일보,www.chosun.com
YTN,ytn.co.kr
경향신문,khan.co.kr
연합뉴스,yna.co.kr
연합뉴스TV,yonhapnewstv.co.kr
JTBC,jtbc.co.kr
한국일보,hankookilbo.com
문화일보,munhwa.com
국민일보,kmib.co.kr
세계일보,segye.com
한겨레,hani.co.kr
서울신문,seoul.co.kr
한국경제tv,wowtv.co.kr
Mbc,imbc.com
뉴시스,newsis.com
뉴스1,news1.kr
Mbn,mbn.co.kr
Sbsbiz,biz.sbs.co.kr
채넒A,ichannela.com
TV조선,tvchosun.com
